Model,Train R2,Train RMSE,Train MAPE,Val R2,Val RMSE,Val MAPE,Test R2,Test RMSE,Test MAPE
SVR,0.7401 ± 0.0227,0.0354 ± 0.0016,0.0072 ± 0.0003,0.6450 ± 0.0254,0.0442 ± 0.0016,0.0096 ± 0.0003,0.6396 ± 0.0246,0.0477 ± 0.0016,0.0105 ± 0.0004
RFR,0.8628 ± 0.0081,0.0257 ± 0.0008,0.0021 ± 0.0003,0.8055 ± 0.0148,0.0327 ± 0.0012,0.0048 ± 0.0006,0.8037 ± 0.0108,0.0352 ± 0.0010,0.0032 ± 0.0005
GBR,0.8629 ± 0.0089,0.0257 ± 0.0008,0.0049 ± 0.0002,0.8027 ± 0.0154,0.0330 ± 0.0013,0.0065 ± 0.0003,0.8024 ± 0.0105,0.0353 ± 0.0009,0.0070 ± 0.0002
KNN,0.7383 ± 0.0241,0.0355 ± 0.0017,0.0038 ± 0.0002,0.6459 ± 0.0285,0.0442 ± 0.0018,0.0083 ± 0.0003,0.6423 ± 0.0241,0.0475 ± 0.0016,0.0043 ± 0.0001
DTR,0.8663 ± 0.0085,0.0254 ± 0.0008,0.0028 ± 0.0001,0.8019 ± 0.0158,0.0330 ± 0.0013,0.0026 ± 0.0001,0.8007 ± 0.0114,0.0354 ± 0.0010,0.0041 ± 0.0001
BPNN,0.5017 ± 0.0294,0.0490 ± 0.0015,0.0089 ± 0.0007,0.4036 ± 0.0365,0.0573 ± 0.0017,0.0108 ± 0.0009,0.4020 ± 0.0292,0.0614 ± 0.0015,0.0117 ± 0.0010
ANN,0.4939 ± 0.0295,0.0494 ± 0.0014,0.0088 ± 0.0006,0.3919 ± 0.0351,0.0579 ± 0.0017,0.0107 ± 0.0012,0.3976 ± 0.0299,0.0616 ± 0.0015,0.0115 ± 0.0011
XGB,0.8618 ± 0.0072,0.0258 ± 0.0007,0.0046 ± 0.0001,0.7998 ± 0.0161,0.0332 ± 0.0013,0.0066 ± 0.0003,0.8018 ± 0.0119,0.0353 ± 0.0011,0.0059 ± 0.0002
